extrinsic_hash,block_number,extrinsic_index,call_module,call_function,signer,nonce,fee,success,error_message,params
0x470ca49140620dff2c3dacda63dc83845b5e2cfc1f76d195b0089c14b6b91d9e_0,159903,0,Unknown,Unknown,,0,0,True,,{}
0x470ca49140620dff2c3dacda63dc83845b5e2cfc1f76d195b0089c14b6b91d9e_1,159903,1,Unknown,Unknown,0xed29041e00e902e5a191c2f1b15507da7bf431cbc1e1c7780f695a877a923988,0,0,True,,{}
0x4d8f402914c2c6c98c34818b1b382395c85dec7b257c2d204e0434c9f56b3bca_0,159902,0,Unknown,Unknown,,0,0,True,,{}
0x4d8f402914c2c6c98c34818b1b382395c85dec7b257c2d204e0434c9f56b3bca_1,159902,1,Unknown,Unknown,0xed29041e00e902150c6e3278eab2dc13df4d5aab90f5e5a9a96f5f626dee806e,0,0,True,,{}
0xe5a191c2f1b15507da7bf431cbc1e1c7780f695a877a923988eef5d05fe0f99c_0,159901,0,Unknown,Unknown,,0,0,True,,{}
0xe5a191c2f1b15507da7bf431cbc1e1c7780f695a877a923988eef5d05fe0f99c_1,159901,1,Unknown,Unknown,0xed29041e00e90299317aba8f03f377eda0ea11ed04351b4f8b924f0a95bb7a02,0,0,True,,{}
0x150c6e3278eab2dc13df4d5aab90f5e5a9a96f5f626dee806effd81e3a38d4b7_0,159900,0,Unknown,Unknown,,0,0,True,,{}
0x150c6e3278eab2dc13df4d5aab90f5e5a9a96f5f626dee806effd81e3a38d4b7_1,159900,1,Unknown,Unknown,0xed29041e00e90279c0b4c2892076157fb664f5a05b50a72818568604e38340c2,0,0,True,,{}
0x99317aba8f03f377eda0ea11ed04351b4f8b924f0a95bb7a0224dcefae6db059_0,159899,0,Unknown,Unknown,,0,0,True,,{}
0x99317aba8f03f377eda0ea11ed04351b4f8b924f0a95bb7a0224dcefae6db059_1,159899,1,Unknown,Unknown,0xed29041e00e9020c4f1fe74bb6a7a534a970e1d3036503a9cd6f6e2943bafd73,0,0,True,,{}
